Tempo (s);Thread 0 (%);Thread 1 (%);Thread 2 (%);Thread 3 (%)
0,24;13.5;9.8;11.8;51.1
0,86;6.6;1.6;63.5;13.3
1,37;4.1;5.8;81.1;2.0
1,94;5.5;3.5;84.6;1.8
2,55;5.1;1.7;75.0;1.7
3,14;6.8;1.7;78.4;3.4
3,70;3.7;10.5;80.4;0.0
4,27;5.4;5.2;83.3;3.4
4,85;7.1;3.6;85.4;8.9
5,35;6.1;8.2;82.5;6.0
5,86;6.1;42.9;17.0;26.5
6,38;4.0;5.8;77.5;1.9
6,88;6.0;5.9;69.2;0.0
7,43;7.3;1.9;3.8;80.9
8,02;5.3;3.4;28.8;51.9
8,62;3.4;3.3;77.8;3.3
9,20;3.5;3.5;84.4;3.5
9,71;3.9;3.9;82.9;5.8
10,33;1.7;10.3;66.0;1.7
