time;x1;y1;x2;y2
0.000000;299;261;280;314
0.034277;300;260;283;315
0.062188;301;259;296;271
0.094066;306;245;298;271
0.138299;307;245;288;337
0.161669;309;244;290;334
0.194140;312;243;292;330
0.226044;319;230;297;317
0.261925;321;229;308;269
0.295696;323;227;304;315
0.331227;323;230;306;311
0.362836;325;227;442;288
0.394356;327;224;443;280
0.428901;331;221;321;247
0.461735;334;220;324;246
0.494870;339;218;329;246
0.525656;344;217;324;277
0.561571;324;281;324;279
0.594671;328;281;347;243
0.625551;363;217;353;251
0.661421;371;217;361;250
0.705416;379;216;368;253
0.725478;389;215;377;252
0.761465;396;217;386;251
0.793422;406;216;394;258
0.825549;415;219;404;256
0.857870;425;219;414;258
0.893492;435;217;425;254
0.932345;446;217;513;133
0.957509;454;219;443;259
0.994705;464;215;452;258
1.026102;472;214;460;257
1.057480;479;213;468;258
1.093686;485;214;474;257
1.125696;491;215;480;255
1.159794;496;213;485;253
1.195703;500;215;488;258
1.232515;504;214;493;249
1.234879;491;215;480;255
1.293401;509;220;514;381
1.328030;512;220;516;381
1.358555;513;221;518;381
1.390630;515;221;519;382
1.427267;518;218;521;382
1.459750;515;226;522;383
1.490846;517;224;523;383
1.522608;517;225;524;384
1.558836;515;230;524;387
1.590782;516;227;525;387
1.622855;516;227;526;377
1.658835;515;227;317;363
1.691242;515;228;317;363
1.722581;514;234;318;363
1.759244;516;232;318;363
1.790925;322;148;318;363
1.822878;323;148;319;363
1.858962;323;148;319;363
1.890533;323;148;319;363
1.923005;323;148;320;363
1.958575;323;148;320;363
1.990836;323;148;320;363
2.022681;323;148;320;363
2.055397;323;148;320;363
2.090588;323;148;320;363
2.123190;323;148;320;363
2.154562;323;148;320;363
2.195777;323;148;320;363
2.222614;323;148;320;363
2.254662;323;148;320;363
2.290899;323;148;320;363
2.322766;323;148;320;363
2.354675;323;148;319;363
2.390676;323;148;319;363
2.422708;323;148;319;363
2.454766;323;148;319;363
2.491240;323;148;319;363
2.523070;323;148;319;363
2.555566;323;148;319;363
2.590647;323;148;319;363
2.623245;323;148;319;363
2.655174;323;148;319;363
2.686633;323;148;319;363
2.722574;322;148;319;363
2.754897;323;148;319;363
2.786581;323;148;319;363
2.822696;323;148;319;363
2.856193;323;148;319;363
2.881585;323;148;319;363
2.920829;322;148;319;363
2.953784;322;148;319;363
2.989685;323;148;319;363
3.020561;323;148;320;363
3.052609;323;148;319;363
3.089044;323;148;320;363
3.120570;323;148;319;363
3.154418;323;148;320;363
3.190008;323;148;319;363
3.221251;323;148;319;363
3.254223;323;148;319;363
3.289363;323;148;319;363
3.322653;323;148;319;363
3.364188;323;148;319;363
3.369139;323;148;319;363
3.425971;322;148;319;363
3.451465;323;148;319;363
3.489475;322;148;318;364
3.520823;322;148;319;363
3.551852;322;148;319;363
3.587854;323;148;319;363
3.619608;323;148;319;363
3.651591;322;148;319;363
3.687817;323;148;319;363
3.719383;323;148;319;363
3.752103;322;148;319;363
3.787534;323;148;319;363
3.819544;322;148;319;363
3.851450;323;148;319;363
3.883977;323;148;319;363
3.919588;322;148;319;363
3.951834;323;148;319;363
3.995916;323;148;319;363
4.002026;323;148;319;363
4.050737;323;148;318;363
4.086645;322;148;318;363
4.119105;323;148;318;363
4.151293;323;148;318;363
4.180230;323;148;318;363
4.219513;322;148;319;363
4.251667;322;148;318;363
4.287740;322;148;318;363
4.319545;323;148;318;363
4.361039;322;148;318;363
4.384643;322;148;318;363
4.419466;322;148;318;363
4.451672;322;148;318;363
4.503435;322;148;318;363
4.503846;322;148;318;363
4.551849;322;148;318;363
4.583476;323;148;318;363
4.615498;323;148;318;363
4.651457;323;148;318;363
4.683485;323;148;318;363
4.713090;323;148;318;363
4.750489;322;148;317;363
4.782760;323;148;318;363
4.819143;323;148;317;363
4.850508;322;148;317;363
4.882658;323;148;318;363
4.914733;323;148;318;363
4.950674;322;148;318;363
4.990294;322;148;318;363
4.995710;323;148;318;363
5.047914;323;148;317;363
5.083510;322;148;318;363
5.116833;323;148;318;363
5.147588;322;148;318;363
5.191646;322;148;318;363
5.215692;322;148;318;363
5.248246;322;148;318;363
5.283572;322;148;318;363
5.349734;322;148;318;363
5.350581;322;148;318;363
5.383788;322;148;317;363
5.418620;321;148;318;363
5.447620;321;148;318;363
5.483969;322;148;318;363
5.515508;322;148;318;363
5.560814;322;148;318;363
5.615991;321;148;318;363
5.647443;322;148;318;363
5.682120;322;148;318;363
5.715590;322;148;318;363
5.759001;322;148;318;363
5.759677;322;148;318;363
5.817073;323;148;318;363
5.871418;322;148;318;363
5.871809;322;148;318;363
5.913654;323;148;318;363
5.945459;323;148;319;363
5.990701;323;148;319;363
6.013391;323;148;319;363
6.045680;323;148;319;363
6.081796;323;148;319;363
6.114798;323;148;319;363
6.145537;323;148;320;363
6.198956;323;148;320;363
6.201051;323;148;319;363
6.248583;323;148;320;363
6.281489;323;148;320;363
6.312587;323;148;320;363
6.344449;323;148;320;363
6.380428;323;148;320;363
6.412441;323;148;320;363
6.444439;323;148;320;363
6.480463;323;148;320;363
6.512456;323;148;320;363
6.544642;323;148;320;363
6.580497;323;148;320;363
6.612422;323;148;320;363
6.644596;323;148;320;363
6.680715;323;148;320;363
6.712536;323;148;320;363
6.744522;323;148;320;363
